Critère RGAA,État non certificatif,Éléments examinés / limites
1.1,Contrôlé partiellement — validation humaine nécessaire,Portrait avec alternative descriptive ; décorations masquées pour les aides techniques. Pertinence éditoriale à valider.
1.2,Contrôlé partiellement — validation humaine nécessaire,Portrait avec alternative descriptive ; décorations masquées pour les aides techniques. Pertinence éditoriale à valider.
1.3,Contrôlé partiellement — validation humaine nécessaire,Portrait avec alternative descriptive ; décorations masquées pour les aides techniques. Pertinence éditoriale à valider.
1.4,Non applicable présumé — inventaire,Portrait avec alternative descriptive ; décorations masquées pour les aides techniques. Pertinence éditoriale à valider.
1.5,Non applicable présumé — inventaire,Portrait avec alternative descriptive ; décorations masquées pour les aides techniques. Pertinence éditoriale à valider.
1.6,Non applicable présumé — inventaire,Portrait avec alternative descriptive ; décorations masquées pour les aides techniques. Pertinence éditoriale à valider.
1.7,Non applicable présumé — inventaire,Portrait avec alternative descriptive ; décorations masquées pour les aides techniques. Pertinence éditoriale à valider.
1.8,Non applicable présumé — inventaire,Portrait avec alternative descriptive ; décorations masquées pour les aides techniques. Pertinence éditoriale à valider.
1.9,Non applicable présumé — inventaire,Portrait avec alternative descriptive ; décorations masquées pour les aides techniques. Pertinence éditoriale à valider.
2.1,Non applicable présumé — inventaire,Aucun iframe ou cadre dans le site.
2.2,Non applicable présumé — inventaire,Aucun iframe ou cadre dans le site.
3.1,Contrôlé partiellement — validation humaine nécessaire,"Contrastes AA et renforcés AAA testés par axe ; couleurs sombres, graphiques accompagnés de valeurs textuelles. Examiner aussi les états système."
3.2,Contrôlé partiellement — validation humaine nécessaire,"Contrastes AA et renforcés AAA testés par axe ; couleurs sombres, graphiques accompagnés de valeurs textuelles. Examiner aussi les états système."
3.3,Contrôlé partiellement — validation humaine nécessaire,"Contrastes AA et renforcés AAA testés par axe ; couleurs sombres, graphiques accompagnés de valeurs textuelles. Examiner aussi les états système."
4.1,Non applicable présumé — inventaire,"Aucun lecteur audio, vidéo ou objet multimédia intégré."
4.2,Non applicable présumé — inventaire,"Aucun lecteur audio, vidéo ou objet multimédia intégré."
4.3,Non applicable présumé — inventaire,"Aucun lecteur audio, vidéo ou objet multimédia intégré."
